id,text,meaning,sentence,image_url,tug
1,create,作り出す、創造する,He wants to create a new app.,https://udvmzaodsrgwecfybkry.supabase.co/storage/v1/object/sign/usalingo.supabase.b.image/anki.test.0004.mean.png?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV82NjUxYzkwOS05MGVlLTQ1NDktOTBkYS1iZWFiYjE5MGQ5N2YiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJ1c2FsaW5nby5zdXBhYmFzZS5iLmltYWdlL2Fua2kudGVzdC4wMDA0Lm1lYW4ucG5nIiwiaWF0IjoxNzUzNDUwMzA0LCJleHAiOjE3ODQ5ODYzMDR9.baz2NbbiB2BpmbcWZAhEveR8Ho7FeZkDP4KlwmADsFA,動詞
2,increase,増加する／増加,The company wants to increase sales.,https://udvmzaodsrgwecfybkry.supabase.co/storage/v1/object/sign/usalingo.supabase.b.image/anki.test.0004.mean.png?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV82NjUxYzkwOS05MGVlLTQ1NDktOTBkYS1iZWFiYjE5MGQ5N2YiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJ1c2FsaW5nby5zdXBhYmFzZS5iLmltYWdlL2Fua2kudGVzdC4wMDA0Lm1lYW4ucG5nIiwiaWF0IjoxNzUzNDUwMzA0LCJleHAiOjE3ODQ5ODYzMDR9.baz2NbbiB2BpmbcWZAhEveR8Ho7FeZkDP4KlwmADsFA,動詞／名詞
3,improve,改善する、向上させる,She tries to improve her writing skills.,https://udvmzaodsrgwecfybkry.supabase.co/storage/v1/object/sign/usalingo.supabase.b.image/anki.test.0004.mean.png?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV82NjUxYzkwOS05MGVlLTQ1NDktOTBkYS1iZWFiYjE5MGQ5N2YiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJ1c2FsaW5nby5zdXBhYmFzZS5iLmltYWdlL2Fua2kudGVzdC4wMDA0Lm1lYW4ucG5nIiwiaWF0IjoxNzUzNDUwMzA0LCJleHAiOjE3ODQ5ODYzMDR9.baz2NbbiB2BpmbcWZAhEveR8Ho7FeZkDP4KlwmADsFA,動詞
4,mean,意味する、意図する／意味／意地悪な,What does this word mean?,https://udvmzaodsrgwecfybkry.supabase.co/storage/v1/object/sign/usalingo.supabase.b.image/anki.test.0004.mean.png?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV82NjUxYzkwOS05MGVlLTQ1NDktOTBkYS1iZWFiYjE5MGQ5N2YiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJ1c2FsaW5nby5zdXBhYmFzZS5iLmltYWdlL2Fua2kudGVzdC4wMDA0Lm1lYW4ucG5nIiwiaWF0IjoxNzUzNDUwMzA0LCJleHAiOjE3ODQ5ODYzMDR9.baz2NbbiB2BpmbcWZAhEveR8Ho7FeZkDP4KlwmADsFA,動詞／名詞／形容詞
5,own,所有する／自分自身の,He owns a small business.,https://udvmzaodsrgwecfybkry.supabase.co/storage/v1/object/sign/usalingo.supabase.b.image/anki.test.0004.mean.png?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV82NjUxYzkwOS05MGVlLTQ1NDktOTBkYS1iZWFiYjE5MGQ5N2YiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJ1c2FsaW5nby5zdXBhYmFzZS5iLmltYWdlL2Fua2kudGVzdC4wMDA0Lm1lYW4ucG5nIiwiaWF0IjoxNzUzNDUwMzA0LCJleHAiOjE3ODQ5ODYzMDR9.baz2NbbiB2BpmbcWZAhEveR8Ho7FeZkDP4KlwmADsFA,動詞／形容詞
6,include,含む、含める,The price includes tax.,https://udvmzaodsrgwecfybkry.supabase.co/storage/v1/object/sign/usalingo.supabase.b.image/anki.test.0004.mean.png?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV82NjUxYzkwOS05MGVlLTQ1NDktOTBkYS1iZWFiYjE5MGQ5N2YiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJ1c2FsaW5nby5zdXBhYmFzZS5iLmltYWdlL2Fua2kudGVzdC4wMDA0Lm1lYW4ucG5nIiwiaWF0IjoxNzUzNDUwMzA0LCJleHAiOjE3ODQ5ODYzMDR9.baz2NbbiB2BpmbcWZAhEveR8Ho7FeZkDP4KlwmADsFA,動詞
7,consider,よく考える、みなす,Please consider my proposal.,https://udvmzaodsrgwecfybkry.supabase.co/storage/v1/object/sign/usalingo.supabase.b.image/anki.test.0004.mean.png?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV82NjUxYzkwOS05MGVlLTQ1NDktOTBkYS1iZWFiYjE5MGQ5N2YiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJ1c2FsaW5nby5zdXBhYmFzZS5iLmltYWdlL2Fua2kudGVzdC4wMDA0Lm1lYW4ucG5nIiwiaWF0IjoxNzUzNDUwMzA0LCJleHAiOjE3ODQ5ODYzMDR9.baz2NbbiB2BpmbcWZAhEveR8Ho7FeZkDP4KlwmADsFA,動詞
8,allow,許可する,Smoking is not allowed here.,https://udvmzaodsrgwecfybkry.supabase.co/storage/v1/object/sign/usalingo.supabase.b.image/anki.test.0004.mean.png?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV82NjUxYzkwOS05MGVlLTQ1NDktOTBkYS1iZWFiYjE5MGQ5N2YiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJ1c2FsaW5nby5zdXBhYmFzZS5iLmltYWdlL2Fua2kudGVzdC4wMDA0Lm1lYW4ucG5nIiwiaWF0IjoxNzUzNDUwMzA0LCJleHAiOjE3ODQ5ODYzMDR9.baz2NbbiB2BpmbcWZAhEveR8Ho7FeZkDP4KlwmADsFA,動詞
9,suggest,提案する,Can you suggest a good restaurant?,https://udvmzaodsrgwecfybkry.supabase.co/storage/v1/object/sign/usalingo.supabase.b.image/anki.test.0004.mean.png?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV82NjUxYzkwOS05MGVlLTQ1NDktOTBkYS1iZWFiYjE5MGQ5N2YiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJ1c2FsaW5nby5zdXBhYmFzZS5iLmltYWdlL2Fua2kudGVzdC4wMDA0Lm1lYW4ucG5nIiwiaWF0IjoxNzUzNDUwMzA0LCJleHAiOjE3ODQ5ODYzMDR9.baz2NbbiB2BpmbcWZAhEveR8Ho7FeZkDP4KlwmADsFA,動詞
10,produce,生産する、作り出す,This factory produces cars.,https://udvmzaodsrgwecfybkry.supabase.co/storage/v1/object/sign/usalingo.supabase.b.image/anki.test.0004.mean.png?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV82NjUxYzkwOS05MGVlLTQ1NDktOTBkYS1iZWFiYjE5MGQ5N2YiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJ1c2FsaW5nby5zdXBhYmFzZS5iLmltYWdlL2Fua2kudGVzdC4wMDA0Lm1lYW4ucG5nIiwiaWF0IjoxNzUzNDUwMzA0LCJleHAiOjE3ODQ5ODYzMDR9.baz2NbbiB2BpmbcWZAhEveR8Ho7FeZkDP4KlwmADsFA,動詞
